Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 1 - Shanghai Regional 2025,10000,3,6.9,4,1.3,1,9.9,9.2,5,2.6,0,0,0,0,0,42.9,Win
Quals 1 - Shanghai Regional 2025,4613,3,6.9,4,1.3,1,9.9,9.2,5,2.6,0,0,12,0,0,54.9,Win
Quals 1 - Shanghai Regional 2025,5516,3,6.9,4,1.3,1,9.9,9.2,5,2.6,0,0,2,0,0,44.9,Win
Quals 1 - Shanghai Regional 2025,5849,0,0,0,0,2,18.2,5.3,1,0,0,0,0,0,0,26.5,Loss
Quals 1 - Shanghai Regional 2025,10120,3,0,0,0,2,18.2,5.3,1,0,0,0,12,0,0,41.5,Loss
Quals 1 - Shanghai Regional 2025,10479,3,0,0,0,2,18.2,5.3,1,0,0,0,0,0,0,29.5,Loss
Quals 2 - Shanghai Regional 2025,10558,3,0,0,0,0,0,0,2,5.9,4,0,2,-2,0,14.9,Loss
Quals 2 - Shanghai Regional 2025,8810,3,0,0,0,0,0,0,2,5.9,4,0,0,-2,0,12.9,Loss
Quals 2 - Shanghai Regional 2025,6766,3,0,0,0,0,0,0,2,5.9,4,0,0,-2,0,12.9,Loss
Quals 2 - Shanghai Regional 2025,7522,3,2.3,0,0,0,16.5,10.6,0,0.7,0,2.6,2,0,0,37.7,Win
Quals 2 - Shanghai Regional 2025,10541,3,2.3,0,0,0,16.5,10.6,0,0.7,0,2.6,12,0,0,47.7,Win
Quals 2 - Shanghai Regional 2025,7594,3,2.3,0,0,0,16.5,10.6,0,0.7,0,2.6,0,0,0,35.7,Win
Quals 4 - Shanghai Regional 2025,8015,3,0,0,1.3,0,8.2,0,1,4.6,0,1.3,2,-2.7,0,18.7,Loss
Quals 4 - Shanghai Regional 2025,10131,0,0,0,1.3,0,8.2,0,1,4.6,0,1.3,2,-2.7,0,15.7,Loss
Quals 4 - Shanghai Regional 2025,8613,3,0,0,1.3,0,8.2,0,1,4.6,0,1.3,2,-2.7,0,18.7,Loss
Quals 4 - Shanghai Regional 2025,6940,3,9.2,0,0,0,19.8,13.2,4,0,2,0,12,0,0,63.2,Win
Quals 4 - Shanghai Regional 2025,6706,3,9.2,0,0,0,19.8,13.2,4,0,2,0,2,0,0,53.2,Win
Quals 4 - Shanghai Regional 2025,9599,3,9.2,0,0,0,19.8,13.2,4,0,2,0,2,0,0,53.2,Win
Quals 6 - Shanghai Regional 2025,5515,3,4.6,0,0,1,18.2,7.9,0,0,0,4,0,0,0,38.7,Win
Quals 6 - Shanghai Regional 2025,8214,3,4.6,0,0,1,18.2,7.9,0,0,0,4,12,0,0,50.7,Win
Quals 6 - Shanghai Regional 2025,8011,3,4.6,0,0,1,18.2,7.9,0,0,0,4,12,0,0,50.7,Win
Quals 6 - Shanghai Regional 2025,7413,3,2.3,0,0,0,16.5,1.3,0,0,0,0,0,-0.7,0,22.4,Loss
Quals 6 - Shanghai Regional 2025,6941,3,2.3,0,0,0,16.5,1.3,0,0,0,0,2,-0.7,0,24.4,Loss
Quals 6 - Shanghai Regional 2025,7738,3,2.3,0,0,0,16.5,1.3,0,0,0,0,2,-0.7,0,24.4,Loss
Quals 7 - Shanghai Regional 2025,9597,3,4.6,0,0,0,11.6,4,1,2,0,0,2,0,0,28.2,Win
Quals 7 - Shanghai Regional 2025,6487,3,4.6,0,0,0,11.6,4,1,2,0,0,2,0,0,28.2,Win
