Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 1 - Shanghai Regional 2025,10000,3,8.61,4.99,1.62,1.25,12.35,11.48,6.24,3.24,0.00,0.00,0,0.00,0.00,52.78,Win
Quals 1 - Shanghai Regional 2025,4613,3,4.92,2.85,0.93,0.71,7.06,6.56,3.56,1.85,0.00,0.00,12,0.00,0.00,43.44,Win
Quals 1 - Shanghai Regional 2025,5516,3,7.17,4.16,1.35,1.04,10.29,9.56,5.20,2.70,0.00,0.00,2,0.00,0.00,46.47,Win
Quals 1 - Shanghai Regional 2025,5849,0,0.00,0.00,0.00,1.06,9.64,2.81,0.53,0.00,0.00,0.00,0,0.00,0.00,14.04,Loss
Quals 1 - Shanghai Regional 2025,10120,3,0.00,0.00,0.00,2.12,19.27,5.61,1.06,0.00,0.00,0.00,12,0.00,0.00,43.06,Loss
Quals 1 - Shanghai Regional 2025,10479,3,0.00,0.00,0.00,2.82,25.69,7.48,1.41,0.00,0.00,0.00,0,0.00,0.00,40.40,Loss
Quals 2 - Shanghai Regional 2025,10558,3,0.00,0.00,0.00,0.00,0.00,0.00,2.36,6.95,4.71,0.00,2,-2.36,0.00,16.66,Loss
Quals 2 - Shanghai Regional 2025,8810,3,0.00,0.00,0.00,0.00,0.00,0.00,1.96,5.79,3.93,0.00,0,-1.96,0.00,12.72,Loss
Quals 2 - Shanghai Regional 2025,6766,3,0.00,0.00,0.00,0.00,0.00,0.00,1.68,4.96,3.36,0.00,0,-1.68,0.00,11.32,Loss
Quals 2 - Shanghai Regional 2025,7522,3,2.48,0.00,0.00,0.00,17.77,11.42,0.00,0.75,0.00,2.80,2,0.00,0.00,40.22,Win
Quals 2 - Shanghai Regional 2025,10541,3,2.36,0.00,0.00,0.00,16.92,10.87,0.00,0.72,0.00,2.67,12,0.00,0.00,48.54,Win
Quals 2 - Shanghai Regional 2025,7594,3,2.06,0.00,0.00,0.00,14.81,9.51,0.00,0.63,0.00,2.33,0,0.00,0.00,32.34,Win
Quals 3 - Shanghai Regional 2025,5823,3,5.25,0.00,0.00,0.00,20.79,7.54,5.71,0.00,0.00,0.00,2,0.00,0.00,44.29,Win
Quals 3 - Shanghai Regional 2025,5449,3,5.04,0.00,0.00,0.00,19.96,7.24,5.48,0.00,0.00,0.00,12,0.00,0.00,52.72,Win
