Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 1 - Shanghai Regional 2025,10000,3,6.37,3.69,1.20,0.92,9.14,8.49,4.62,2.40,0.00,0.00,0,0.00,0.00,39.83,Win
Quals 1 - Shanghai Regional 2025,4613,3,6.37,3.69,1.20,0.92,9.14,8.49,4.62,2.40,0.00,0.00,12,0.00,0.00,51.83,Win
Quals 1 - Shanghai Regional 2025,5516,3,7.96,4.62,1.50,1.15,11.42,10.62,5.77,3.00,0.00,0.00,2,0.00,0.00,51.04,Win
Quals 1 - Shanghai Regional 2025,5849,0,0.00,0.00,0.00,0.91,8.24,2.40,0.45,0.00,0.00,0.00,0,0.00,0.00,12.00,Loss
Quals 1 - Shanghai Regional 2025,10120,3,0.00,0.00,0.00,2.04,18.54,5.40,1.02,0.00,0.00,0.00,12,0.00,0.00,42.00,Loss
Quals 1 - Shanghai Regional 2025,10479,3,0.00,0.00,0.00,3.06,27.82,8.10,1.53,0.00,0.00,0.00,0,0.00,0.00,43.51,Loss
Quals 2 - Shanghai Regional 2025,10558,3,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.90,4.00,0.00,2,-2.00,0.00,14.90,Loss
Quals 2 - Shanghai Regional 2025,8810,3,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.90,4.00,0.00,0,-2.00,0.00,12.90,Loss
Quals 2 - Shanghai Regional 2025,6766,3,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.90,4.00,0.00,0,-2.00,0.00,12.90,Loss
Quals 2 - Shanghai Regional 2025,7522,3,2.52,0.00,0.00,0.00,18.06,11.60,0.00,0.77,0.00,2.85,2,0.00,0.00,40.80,Win
Quals 2 - Shanghai Regional 2025,10541,3,2.52,0.00,0.00,0.00,18.06,11.60,0.00,0.77,0.00,2.85,12,0.00,0.00,50.80,Win
Quals 2 - Shanghai Regional 2025,7594,3,1.86,0.00,0.00,0.00,13.38,8.59,0.00,0.57,0.00,2.11,0,0.00,0.00,29.51,Win
Quals 3 - Shanghai Regional 2025,5823,3,5.54,0.00,0.00,0.00,21.91,7.95,6.02,0.00,0.00,0.00,2,0.00,0.00,46.42,Win
Quals 3 - Shanghai Regional 2025,5449,3,4.75,0.00,0.00,0.00,18.78,6.81,5.16,0.00,0.00,0.00,12,0.00,0.00,50.50,Win
Quals 3 - Shanghai Regional 2025,10526,0,3.52,0.00,0.00,0.00,13.91,5.04,3.82,0.00,0.00,0.00,0,0.00,0.00,26.29,Win
Quals 3 - Shanghai Regional 2025,7002,3,1.72,0.00,0.00,0.00,6.15,0.00,0.00,0.98,0.00,0.00,0,-3.00,0.00,8.85,Loss
Quals 3 - Shanghai Regional 2025,6494,3,1.72,0.00,0.00,0.00,6.15,0.00,0.00,0.98,0.00,0.00,2,-3.00,0.00,10.85,Loss
Quals 3 - Shanghai Regional 2025,9635,3,3.45,0.00,0.00,0.00,12.30,0.00,0.00,1.95,0.00,0.00,2,-6.00,0.00,16.70,Loss
Quals 4 - Shanghai Regional 2025,8015,3,0.00,0.00,1.30,0.00,8.20,0.00,1.00,4.60,0.00,1.30,2,-2.70,0.00,18.70,Loss
Quals 4 - Shanghai Regional 2025,10131,0,0.00,0.00,0.98,0.00,6.15,0.00,0.75,3.45,0.00,0.98,2,-2.03,0.00,12.28,Loss
Quals 4 - Shanghai Regional 2025,8613,3,0.00,0.00,1.63,0.00,10.25,0.00,1.25,5.75,0.00,1.63,2,-3.38,0.00,22.13,Loss
Quals 4 - Shanghai Regional 2025,6940,3,11.62,0.00,0.00,0.00,25.01,16.67,5.05,0.00,2.53,0.00,12,0.00,0.00,75.88,Win
Quals 4 - Shanghai Regional 2025,6706,3,7.26,0.00,0.00,0.00,15.63,10.42,3.16,0.00,1.58,0.00,2,0.00,0.00,43.05,Win
Quals 4 - Shanghai Regional 2025,9599,3,8.72,0.00,0.00,0.00,18.76,12.51,3.79,0.00,1.89,0.00,2,0.00,0.00,50.67,Win
Quals 5 - Shanghai Regional 2025,6414,3,0.00,0.00,0.00,0.00,2.83,4.33,1.67,1.17,0.00,0.00,0,0.00,0.00,13.00,Win
Quals 5 - Shanghai Regional 2025,6394,3,0.00,0.00,0.00,0.00,1.13,1.73,0.67,0.47,0.00,0.00,2,0.00,0.00,9.00,Win
Quals 5 - Shanghai Regional 2025,7047,3,0.00,0.00,0.00,0.00,1.13,1.73,0.67,0.47,0.00,0.00,2,0.00,0.00,9.00,Win
Quals 5 - Shanghai Regional 2025,6433,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,-0.00,0.00,3.00,Loss
Quals 5 - Shanghai Regional 2025,10438,3,0.00,0.00,0.00,0.00,0.00,11.85,0.00,0.00,0.00,0.00,0,-10.05,0.00,4.80,Loss
Quals 5 - Shanghai Regional 2025,6353,3,0.00,0.00,0.00,0.00,0.00,11.85,0.00,0.00,0.00,0.00,2,-10.05,0.00,6.80,Loss
Quals 6 - Shanghai Regional 2025,5515,3,4.60,0.00,0.00,1.00,18.20,7.90,0.00,0.00,0.00,4.00,0,0.00,0.00,38.70,Win
Quals 6 - Shanghai Regional 2025,8214,3,6.13,0.00,0.00,1.33,24.27,10.53,0.00,0.00,0.00,5.33,12,0.00,0.00,62.59,Win
Quals 6 - Shanghai Regional 2025,8011,3,3.07,0.00,0.00,0.67,12.13,5.27,0.00,0.00,0.00,2.67,12,0.00,0.00,38.81,Win
Quals 6 - Shanghai Regional 2025,7413,3,0.96,0.00,0.00,0.00,6.89,0.54,0.00,0.00,0.00,0.00,0,-0.29,0.00,11.10,Loss
Quals 6 - Shanghai Regional 2025,6941,3,3.78,0.00,0.00,0.00,27.12,2.14,0.00,0.00,0.00,0.00,2,-1.15,0.00,36.89,Loss
Quals 6 - Shanghai Regional 2025,7738,3,2.16,0.00,0.00,0.00,15.50,1.22,0.00,0.00,0.00,0.00,2,-0.66,0.00,23.22,Loss
Quals 7 - Shanghai Regional 2025,9597,3,5.52,0.00,0.00,0.00,13.92,4.80,1.20,2.40,0.00,0.00,2,0.00,0.00,32.84,Win
Quals 7 - Shanghai Regional 2025,6487,3,5.52,0.00,0.00,0.00,13.92,4.80,1.20,2.40,0.00,0.00,2,0.00,0.00,32.84,Win
Quals 7 - Shanghai Regional 2025,6304,3,2.76,0.00,0.00,0.00,6.96,2.40,0.60,1.20,0.00,0.00,2,0.00,0.00,18.92,Win
Quals 7 - Shanghai Regional 2025,10486,0,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.67,0.00,0.00,0,0.00,0.00,3.97,Loss
