Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,2.71,0.00,0.00,0.00,21.45,17.09,11.67,3.06,4.71,1.53,12,-3.18,0.00,74.04,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,2.03,0.00,0.00,0.00,16.09,12.82,8.75,2.30,3.54,1.15,12,-2.39,0.00,59.29,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,2.16,0.00,0.00,0.00,17.06,13.59,9.28,2.44,3.75,1.22,2,-2.53,0.00,51.97,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,2.46,0.00,1.39,0.00,12.43,1.39,5.36,10.61,0.00,5.68,12,0.00,0.00,54.32,Loss
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,1.97,0.00,1.11,0.00,9.94,1.11,4.29,8.49,0.00,4.54,0,0.00,0.00,34.45,Loss
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9635,3,2.46,0.00,1.39,0.00,12.43,1.39,5.36,10.61,0.00,5.68,2,0.00,0.00,44.32,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,0,0.00,0.00,0.00,0.00,7.42,2.93,1.12,0.00,0.00,0.00,0,-0.79,0.00,10.68,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,0.00,0.00,0.00,0.00,9.90,3.90,1.50,0.00,0.00,0.00,2,-1.05,0.00,19.25,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,0.00,0.00,0.00,0.00,2.48,0.98,0.38,0.00,0.00,0.00,0,-0.26,0.00,6.58,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,6.32,0.00,0.00,0.00,15.95,9.07,6.88,3.58,0.00,0.00,2,-0.96,0.00,45.84,Win
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,0,3.16,0.00,0.00,0.00,7.97,4.54,3.44,1.79,0.00,0.00,0,-0.48,0.00,20.42,Win
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,4.31,0.00,0.00,0.00,10.87,6.19,4.69,2.44,0.00,0.00,2,-0.66,0.00,32.84,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,3.18,0.00,0.00,0.00,4.57,0.00,0.00,0.00,0.00,2.77,2,-0.48,0.00,15.04,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,8.49,0.00,0.00,0.00,12.18,0.00,0.00,0.00,0.00,7.38,2,-1.29,0.00,31.76,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,3,2.12,0.00,0.00,0.00,3.05,0.00,0.00,0.00,0.00,1.85,0,-0.32,0.00,9.70,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,10.40,0.00,0.00,0.00,24.87,9.95,0.00,0.00,0.00,0.00,2,0.00,0.00,50.22,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,5.72,0.00,0.00,0.00,13.68,5.47,0.00,0.00,0.00,0.00,2,0.00,0.00,29.87,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,0,4.58,0.00,0.00,0.00,10.94,4.38,0.00,0.00,0.00,0.00,0,0.00,0.00,19.90,Win
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,0.00,0.00,0.00,0.00,7.20,4.36,0.00,2.84,2.18,2.84,0,-5.13,0.00,17.29,Loss
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,0.00,0.00,0.00,0.00,7.20,4.36,0.00,2.84,2.18,2.84,12,-5.13,0.00,29.29,Loss
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6433,0,0.00,0.00,0.00,0.00,5.40,3.27,0.00,2.13,1.64,2.13,2,-3.85,0.00,12.72,Loss
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9992,3,11.39,0.00,0.00,0.00,17.88,11.69,6.78,5.21,3.93,3.93,0,-0.69,0.00,63.12,Win
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8810,3,6.84,0.00,0.00,0.00,10.72,7.01,4.07,3.12,2.36,2.36,12,-0.41,0.00,51.07,Win
Quals 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,16.57,0.00,0.00,0.00,26.00,17.00,9.86,7.57,5.71,5.71,12,-1.00,0.00,102.42,Win
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,6.13,0.00,0.00,0.67,12.13,1.73,2.00,0.47,0.00,0.00,2,0.00,0.00,28.13,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,9.20,0.00,0.00,1.00,18.20,2.60,3.00,0.70,0.00,0.00,12,0.00,0.00,49.70,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,12.27,0.00,0.00,1.33,24.27,3.47,4.00,0.93,0.00,0.00,2,0.00,0.00,51.27,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,0,4.74,0.00,1.34,0.00,18.77,10.93,4.12,3.40,0.00,0.00,0,0.00,0.00,43.30,Win
