Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Match 1 - Shanghai Regional 2025,10120,3,11.6,0.0,0.0,1.0,19.8,15.8,3.0,0.0,0.0,0.0,2,-2.7,0.0,53.5,Win
Match 1 - Shanghai Regional 2025,5449,3,11.6,0.0,0.0,1.0,19.8,15.8,3.0,0.0,0.0,0.0,12,-2.7,0.0,63.5,Win
Match 1 - Shanghai Regional 2025,6941,3,11.6,0.0,0.0,1.0,19.8,15.8,3.0,0.0,0.0,0.0,12,-2.7,0.0,63.5,Win
Match 1 - Shanghai Regional 2025,6706,3,6.9,0.0,0.0,0.0,19.8,6.6,0.0,0.0,0.0,4.0,0,-4.0,0.0,36.3,Loss
Match 1 - Shanghai Regional 2025,8011,3,6.9,0.0,0.0,0.0,19.8,6.6,0.0,0.0,0.0,4.0,12,-4.0,0.0,48.3,Loss
Match 1 - Shanghai Regional 2025,10438,3,6.9,0.0,0.0,0.0,19.8,6.6,0.0,0.0,0.0,4.0,2,-4.0,0.0,38.3,Loss
Match 2 - Shanghai Regional 2025,10541,0,0.0,4.0,1.3,0.0,9.9,10.6,4.0,1.3,0.0,0.0,2,-0.0,0.0,33.1,Loss
Match 2 - Shanghai Regional 2025,8613,3,0.0,4.0,1.3,0.0,9.9,10.6,4.0,1.3,0.0,0.0,2,-0.0,0.0,36.1,Loss
Match 2 - Shanghai Regional 2025,10131,3,0.0,4.0,1.3,0.0,9.9,10.6,4.0,1.3,0.0,0.0,2,-0.0,0.0,36.1,Loss
Match 2 - Shanghai Regional 2025,7522,3,2.3,0.0,1.3,0.0,18.2,14.5,5.0,0.7,0.0,0.0,0,-0.0,0.0,45.0,Win
Match 2 - Shanghai Regional 2025,4613,3,2.3,0.0,1.3,0.0,18.2,14.5,5.0,0.7,0.0,0.0,12,-0.0,0.0,57.0,Win
Match 2 - Shanghai Regional 2025,9597,3,2.3,0.0,1.3,0.0,18.2,14.5,5.0,0.7,0.0,0.0,2,-0.0,0.0,47.0,Win
Match 3 - Shanghai Regional 2025,6940,3,6.9,0.0,0.0,0.0,19.8,15.8,5.0,0.0,0.0,4.0,12,-0.0,0.0,66.5,Win
Match 3 - Shanghai Regional 2025,6304,3,6.9,0.0,0.0,0.0,19.8,15.8,5.0,0.0,0.0,4.0,2,-0.0,0.0,56.5,Win
Match 3 - Shanghai Regional 2025,8214,3,6.9,0.0,0.0,0.0,19.8,15.8,5.0,0.0,0.0,4.0,0,-0.0,0.0,54.5,Win
Match 3 - Shanghai Regional 2025,6907,3,4.6,0.0,1.3,0.0,16.5,10.6,2.0,4.0,2.0,0.0,0,-0.0,0.0,44.0,Loss
Match 3 - Shanghai Regional 2025,6766,0,4.6,0.0,1.3,0.0,16.5,10.6,2.0,4.0,2.0,0.0,0,-0.0,0.0,41.0,Loss
Match 3 - Shanghai Regional 2025,9599,3,4.6,0.0,1.3,0.0,16.5,10.6,2.0,4.0,2.0,0.0,0,-0.0,0.0,44.0,Loss
Match 4 - Shanghai Regional 2025,5823,3,6.9,0.0,0.0,0.0,16.5,5.3,0.0,0.0,0.0,0.0,2,-0.0,0.0,33.7,Loss
Match 4 - Shanghai Regional 2025,10214,3,6.9,0.0,0.0,0.0,16.5,5.3,0.0,0.0,0.0,0.0,2,-0.0,0.0,33.7,Loss
Match 4 - Shanghai Regional 2025,5516,3,6.9,0.0,0.0,0.0,16.5,5.3,0.0,0.0,0.0,0.0,0,-0.0,0.0,31.7,Loss
Match 4 - Shanghai Regional 2025,9635,3,13.9,0.0,0.0,0.0,18.2,11.9,0.0,2.0,0.0,6.6,2,-0.7,0.0,56.9,Win
Match 4 - Shanghai Regional 2025,6487,3,13.9,0.0,0.0,0.0,18.2,11.9,0.0,2.0,0.0,6.6,2,-0.7,0.0,56.9,Win
Match 4 - Shanghai Regional 2025,10526,3,13.9,0.0,0.0,0.0,18.2,11.9,0.0,2.0,0.0,6.6,2,-0.7,0.0,56.9,Win
Match 5 - Shanghai Regional 2025,6706,3,9.2,0.0,0.0,0.0,18.2,4.0,0.0,0.7,0.0,1.3,2,-0.0,0.0,38.4,Win
Match 5 - Shanghai Regional 2025,8011,3,9.2,0.0,0.0,0.0,18.2,4.0,0.0,0.7,0.0,1.3,12,-0.0,0.0,48.4,Win
Match 5 - Shanghai Regional 2025,10438,3,9.2,0.0,0.0,0.0,18.2,4.0,0.0,0.7,0.0,1.3,2,-0.0,0.0,38.4,Win
Match 5 - Shanghai Regional 2025,10541,3,0.0,0.0,1.3,0.0,6.6,10.6,5.0,0.7,0.0,0.0,2,-2.7,0.0,26.5,Loss
Match 5 - Shanghai Regional 2025,8613,3,0.0,0.0,1.3,0.0,6.6,10.6,5.0,0.7,0.0,0.0,12,-2.7,0.0,36.5,Loss
Match 5 - Shanghai Regional 2025,10131,3,0.0,0.0,1.3,0.0,6.6,10.6,5.0,0.7,0.0,0.0,2,-2.7,0.0,26.5,Loss
Match 6 - Shanghai Regional 2025,6907,3,4.6,0.0,0.0,0.0,18.2,9.2,0.0,1.3,4.0,0.0,2,-0.0,0.0,42.3,Loss
Match 6 - Shanghai Regional 2025,6766,3,4.6,0.0,0.0,0.0,18.2,9.2,0.0,1.3,4.0,0.0,0,-0.0,0.0,40.3,Loss
Match 6 - Shanghai Regional 2025,9599,3,4.6,0.0,0.0,0.0,18.2,9.2,0.0,1.3,4.0,0.0,0,-0.0,0.0,40.3,Loss
Match 6 - Shanghai Regional 2025,5823,3,6.9,0.0,0.0,2.0,19.8,13.2,2.0,0.0,0.0,0.0,2,-0.0,0.0,48.9,Win
Match 6 - Shanghai Regional 2025,10214,3,6.9,0.0,0.0,2.0,19.8,13.2,2.0,0.0,0.0,0.0,2,-0.0,0.0,48.9,Win
Match 6 - Shanghai Regional 2025,5516,3,6.9,0.0,0.0,2.0,19.8,13.2,2.0,0.0,0.0,0.0,0,-0.0,0.0,46.9,Win
Match 7 - Shanghai Regional 2025,10120,3,11.6,0.0,0.0,0.0,19.8,15.8,7.9,0.7,0.0,0.0,2,-0.0,0.0,60.8,Win
Match 7 - Shanghai Regional 2025,5449,3,11.6,0.0,0.0,0.0,19.8,15.8,7.9,0.7,0.0,0.0,12,-0.0,0.0,70.8,Win
Match 7 - Shanghai Regional 2025,6941,3,11.6,0.0,0.0,0.0,19.8,15.8,7.9,0.7,0.0,0.0,12,-0.0,0.0,70.8,Win
Match 7 - Shanghai Regional 2025,4613,3,4.6,2.0,1.3,0.0,18.2,13.2,4.0,0.0,0.0,0.0,2,-0.0,0.0,48.3,Loss
Match 7 - Shanghai Regional 2025,7522,3,4.6,2.0,1.3,0.0,18.2,13.2,4.0,0.0,0.0,0.0,2,-0.0,0.0,48.3,Loss
Match 7 - Shanghai Regional 2025,9597,3,4.6,2.0,1.3,0.0,18.2,13.2,4.0,0.0,0.0,0.0,2,-0.0,0.0,48.3,Loss
Match 8 - Shanghai Regional 2025,6940,3,11.6,0.0,0.0,0.0,19.8,14.5,0.0,0.0,0.0,4.0,12,-2.0,0.0,62.9,Win
Match 8 - Shanghai Regional 2025,6304,3,11.6,0.0,0.0,0.0,19.8,14.5,0.0,0.0,0.0,4.0,2,-2.0,0.0,52.9,Win
Match 8 - Shanghai Regional 2025,8214,3,11.6,0.0,0.0,0.0,19.8,14.5,0.0,0.0,0.0,4.0,2,-2.0,0.0,52.9,Win
Match 8 - Shanghai Regional 2025,9635,3,9.2,0.0,0.0,0.0,11.6,9.2,0.0,0.7,0.0,4.0,2,-0.7,0.0,39.0,Loss
Match 8 - Shanghai Regional 2025,6487,3,9.2,0.0,0.0,0.0,11.6,9.2,0.0,0.7,0.0,4.0,2,-0.7,0.0,39.0,Loss
