Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Match 1 - Rocket City Regional 2025,10011,3,13.9,0,0,0,19.8,13.2,9.9,0,4,0,2,0,0,65.8,Win
Match 1 - Rocket City Regional 2025,2338,3,13.9,0,0,0,19.8,13.2,9.9,0,4,0,12,0,0,75.8,Win
Match 1 - Rocket City Regional 2025,4020,3,13.9,0,0,0,19.8,13.2,9.9,0,4,0,2,0,0,65.8,Win
Match 1 - Rocket City Regional 2025,144,3,2.3,0,0,0,14.9,1.3,0,2,0,2.6,12,-0.7,0,37.4,Loss
Match 1 - Rocket City Regional 2025,5045,3,2.3,0,0,0,14.9,1.3,0,2,0,2.6,0,-0.7,0,25.4,Loss
Match 1 - Rocket City Regional 2025,4265,3,2.3,0,0,0,14.9,1.3,0,2,0,2.6,2,-0.7,0,27.4,Loss
Match 2 - Rocket City Regional 2025,325,3,4.6,0,0,0,18.2,2.6,0,0.7,2,4,2,-0.7,0,36.4,Win
Match 2 - Rocket City Regional 2025,7428,3,4.6,0,0,0,18.2,2.6,0,0.7,2,4,12,-0.7,0,46.4,Win
Match 2 - Rocket City Regional 2025,744,3,4.6,0,0,0,18.2,2.6,0,0.7,2,4,0,-0.7,0,34.4,Win
Match 2 - Rocket City Regional 2025,2502,3,4.6,0,0,0,11.6,1.3,0,0,7.9,1.3,2,0,0,31.7,Loss
Match 2 - Rocket City Regional 2025,1038,3,4.6,0,0,0,11.6,1.3,0,0,7.9,1.3,2,0,0,31.7,Loss
Match 2 - Rocket City Regional 2025,7072,3,4.6,0,0,0,11.6,1.3,0,0,7.9,1.3,2,0,0,31.7,Loss
Match 3 - Rocket City Regional 2025,2783,3,6.9,0,0,0,19.8,11.9,0,0,0,6.6,12,-0.7,0,59.5,Win
Match 3 - Rocket City Regional 2025,4028,3,6.9,0,0,0,19.8,11.9,0,0,0,6.6,12,-0.7,0,59.5,Win
Match 3 - Rocket City Regional 2025,7111,3,6.9,0,0,0,19.8,11.9,0,0,0,6.6,2,-0.7,0,49.5,Win
Match 3 - Rocket City Regional 2025,3824,3,2.3,0,1.3,0,18.2,2.6,1,0.7,0,0,12,0,0,41.1,Loss
Match 3 - Rocket City Regional 2025,6517,3,2.3,0,1.3,0,18.2,2.6,1,0.7,0,0,2,0,0,31.1,Loss
Match 3 - Rocket City Regional 2025,3966,3,2.3,0,1.3,0,18.2,2.6,1,0.7,0,0,0,0,0,29.1,Loss
Match 4 - Rocket City Regional 2025,3630,3,6.9,0,0,1,16.5,7.9,4,0.7,0,0,2,0,0,42,Win
Match 4 - Rocket City Regional 2025,2220,3,6.9,0,0,1,16.5,7.9,4,0.7,0,0,2,0,0,42,Win
Match 4 - Rocket City Regional 2025,3959,3,6.9,0,0,1,16.5,7.9,4,0.7,0,0,0,0,0,40,Win
Match 4 - Rocket City Regional 2025,3058,3,0,0,1.3,0,13.2,5.3,5,1.3,0,2.6,2,-2,0,31.7,Loss
Match 4 - Rocket City Regional 2025,48,3,0,0,1.3,0,13.2,5.3,5,1.3,0,2.6,12,-2,0,41.7,Loss
Match 4 - Rocket City Regional 2025,3140,3,0,0,1.3,0,13.2,5.3,5,1.3,0,2.6,2,-2,0,31.7,Loss
Match 5 - Rocket City Regional 2025,144,3,4.6,0,0,0,19.8,1.3,0,0,0,14.5,2,-2,0,43.2,Win
Match 5 - Rocket City Regional 2025,3468,3,4.6,0,0,0,19.8,1.3,0,0,0,14.5,2,-2,0,43.2,Win
Match 5 - Rocket City Regional 2025,4265,3,4.6,0,0,0,19.8,1.3,0,0,0,14.5,2,-2,0,43.2,Win
Match 5 - Rocket City Regional 2025,2502,3,2.3,0,0,0,13.2,0,0,0,9.9,0,2,-2.7,0,27.7,Loss
Match 5 - Rocket City Regional 2025,1038,3,2.3,0,0,0,13.2,0,0,0,9.9,0,2,-2.7,0,27.7,Loss
Match 5 - Rocket City Regional 2025,7072,3,2.3,0,0,0,13.2,0,0,0,9.9,0,12,-2.7,0,37.7,Loss
Match 6 - Rocket City Regional 2025,3824,3,6.9,0,0,0,19.8,1.3,0,0.7,0,0,2,0,0,33.7,Win
Match 6 - Rocket City Regional 2025,6517,3,6.9,0,0,0,19.8,1.3,0,0.7,0,0,2,0,0,33.7,Win
Match 6 - Rocket City Regional 2025,3966,3,6.9,0,0,0,19.8,1.3,0,0.7,0,0,0,0,0,31.7,Win
Match 6 - Rocket City Regional 2025,3058,3,0,0,1.3,0,11.6,6.6,2,2,0,4,0,0,0,30.5,Loss
Match 6 - Rocket City Regional 2025,48,3,0,0,1.3,0,11.6,6.6,2,2,0,4,2,0,0,32.5,Loss
Match 6 - Rocket City Regional 2025,3140,3,0,0,1.3,0,11.6,6.6,2,2,0,4,0,0,0,30.5,Loss
Match 7 - Rocket City Regional 2025,10011,3,13.9,0,0,0,19.8,7.9,5,0,0,0,2,-2,0,49.6,Win
Match 7 - Rocket City Regional 2025,2338,3,13.9,0,0,0,19.8,7.9,5,0,0,0,12,-2,0,59.6,Win
Match 7 - Rocket City Regional 2025,4020,3,13.9,0,0,0,19.8,7.9,5,0,0,0,12,-2,0,59.6,Win
Match 7 - Rocket City Regional 2025,7428,3,4.6,0,0,0,19.8,4,0,0.7,0,0,2,-2,0,32.1,Loss
Match 7 - Rocket City Regional 2025,325,3,4.6,0,0,0,19.8,4,0,0.7,0,0,2,-2,0,32.1,Loss
Match 7 - Rocket City Regional 2025,744,3,4.6,0,0,0,19.8,4,0,0.7,0,0,2,-2,0,32.1,Loss
Match 8 - Rocket City Regional 2025,2783,3,11.6,0,0,0,19.8,11.9,0,0,0,6.6,12,-0.7,0,64.2,Win
