Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Match 1 - Rocket City Regional 2025,10011,3,13.83,0.00,0.00,0.00,19.71,13.14,9.85,0.00,3.98,0.00,2,0.00,0.00,65.51,Win
Match 1 - Rocket City Regional 2025,2338,3,13.23,0.00,0.00,0.00,18.85,12.57,9.42,0.00,3.81,0.00,12,0.00,0.00,72.88,Win
Match 1 - Rocket City Regional 2025,4020,3,14.63,0.00,0.00,0.00,20.84,13.90,10.42,0.00,4.21,0.00,2,0.00,0.00,69.00,Win
Match 1 - Rocket City Regional 2025,144,3,3.83,0.00,0.00,0.00,24.83,2.17,0.00,3.33,0.00,4.33,12,-1.17,0.00,52.32,Loss
Match 1 - Rocket City Regional 2025,5045,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,-0.00,0.00,3.00,Loss
Match 1 - Rocket City Regional 2025,4265,3,3.07,0.00,0.00,0.00,19.87,1.73,0.00,2.67,0.00,3.47,2,-0.93,0.00,34.88,Loss
Match 2 - Rocket City Regional 2025,325,3,3.65,0.00,0.00,0.00,14.42,2.06,0.00,0.55,1.58,3.17,2,-0.55,0.00,29.88,Win
Match 2 - Rocket City Regional 2025,7428,3,5.47,0.00,0.00,0.00,21.63,3.09,0.00,0.83,2.38,4.75,12,-0.83,0.00,52.32,Win
Match 2 - Rocket City Regional 2025,744,3,4.69,0.00,0.00,0.00,18.54,2.65,0.00,0.71,2.04,4.08,0,-0.71,0.00,35.00,Win
Match 2 - Rocket City Regional 2025,2502,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,5.00,Loss
Match 2 - Rocket City Regional 2025,1038,3,6.90,0.00,0.00,0.00,17.40,1.95,0.00,0.00,11.85,1.95,2,0.00,0.00,45.05,Loss
Match 2 - Rocket City Regional 2025,7072,3,6.90,0.00,0.00,0.00,17.40,1.95,0.00,0.00,11.85,1.95,2,0.00,0.00,45.05,Loss
Match 3 - Rocket City Regional 2025,2783,3,5.77,0.00,0.00,0.00,16.54,9.94,0.00,0.00,0.00,5.51,12,-0.58,0.00,52.18,Win
Match 3 - Rocket City Regional 2025,4028,3,9.99,0.00,0.00,0.00,28.68,17.23,0.00,0.00,0.00,9.56,12,-1.01,0.00,79.45,Win
Match 3 - Rocket City Regional 2025,7111,3,4.94,0.00,0.00,0.00,14.18,8.52,0.00,0.00,0.00,4.73,2,-0.50,0.00,36.87,Win
Match 3 - Rocket City Regional 2025,3824,3,1.66,0.00,0.94,0.00,13.10,1.87,0.72,0.50,0.00,0.00,12,0.00,0.00,33.79,Loss
Match 3 - Rocket City Regional 2025,6517,3,1.10,0.00,0.62,0.00,8.74,1.25,0.48,0.34,0.00,0.00,2,0.00,0.00,17.53,Loss
Match 3 - Rocket City Regional 2025,3966,3,4.14,0.00,2.34,0.00,32.76,4.68,1.80,1.26,0.00,0.00,0,0.00,0.00,49.98,Loss
Match 4 - Rocket City Regional 2025,3630,3,5.02,0.00,0.00,0.73,12.00,5.75,2.91,0.51,0.00,0.00,2,0.00,0.00,31.92,Win
Match 4 - Rocket City Regional 2025,2220,3,7.32,0.00,0.00,1.06,17.50,8.38,4.24,0.74,0.00,0.00,2,0.00,0.00,44.24,Win
Match 4 - Rocket City Regional 2025,3959,3,8.36,0.00,0.00,1.21,20.00,9.58,4.85,0.85,0.00,0.00,0,0.00,0.00,47.85,Win
Match 4 - Rocket City Regional 2025,3058,3,0.00,0.00,2.23,0.00,22.63,9.09,8.57,2.23,0.00,4.46,2,-3.43,0.00,50.78,Loss
Match 4 - Rocket City Regional 2025,48,3,0.00,0.00,1.67,0.00,16.97,6.81,6.43,1.67,0.00,3.34,12,-2.57,0.00,49.32,Loss
Match 4 - Rocket City Regional 2025,3140,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,-0.00,0.00,5.00,Loss
Match 5 - Rocket City Regional 2025,144,3,4.40,0.00,0.00,0.00,18.96,1.24,0.00,0.00,0.00,13.88,2,-1.91,0.00,41.57,Win
Match 5 - Rocket City Regional 2025,3468,3,5.87,0.00,0.00,0.00,25.28,1.66,0.00,0.00,0.00,18.51,2,-2.55,0.00,53.77,Win
Match 5 - Rocket City Regional 2025,4265,3,3.52,0.00,0.00,0.00,15.17,1.00,0.00,0.00,0.00,11.11,2,-1.53,0.00,34.27,Win
Match 5 - Rocket City Regional 2025,2502,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,-0.00,0.00,5.00,Loss
Match 5 - Rocket City Regional 2025,1038,3,3.45,0.00,0.00,0.00,19.80,0.00,0.00,0.00,14.85,0.00,2,-4.05,0.00,39.05,Loss
Match 5 - Rocket City Regional 2025,7072,3,3.45,0.00,0.00,0.00,19.80,0.00,0.00,0.00,14.85,0.00,12,-4.05,0.00,49.05,Loss
Match 6 - Rocket City Regional 2025,3824,3,4.97,0.00,0.00,0.00,14.26,0.94,0.00,0.50,0.00,0.00,2,0.00,0.00,25.67,Win
Match 6 - Rocket City Regional 2025,6517,3,3.31,0.00,0.00,0.00,9.50,0.62,0.00,0.34,0.00,0.00,2,0.00,0.00,18.77,Win
Match 6 - Rocket City Regional 2025,3966,3,12.42,0.00,0.00,0.00,35.64,2.34,0.00,1.26,0.00,0.00,0,0.00,0.00,54.66,Win
Match 6 - Rocket City Regional 2025,3058,3,0.00,0.00,2.23,0.00,19.89,11.31,3.43,3.43,0.00,6.86,0,0.00,0.00,50.15,Loss
Match 6 - Rocket City Regional 2025,48,3,0.00,0.00,1.67,0.00,14.91,8.49,2.57,2.57,0.00,5.14,2,0.00,0.00,40.35,Loss
Match 6 - Rocket City Regional 2025,3140,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3.00,Loss
Match 7 - Rocket City Regional 2025,10011,3,13.83,0.00,0.00,0.00,19.71,7.86,4.98,0.00,0.00,0.00,2,-1.99,0.00,49.39,Win
Match 7 - Rocket City Regional 2025,2338,3,13.23,0.00,0.00,0.00,18.85,7.52,4.76,0.00,0.00,0.00,12,-1.90,0.00,57.46,Win
