Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,2.76,0.00,0.00,0.00,21.84,17.40,11.88,3.12,4.80,1.56,12,-3.24,0.00,75.12,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,1.72,0.00,0.00,0.00,13.65,10.88,7.43,1.95,3.00,0.98,12,-2.03,0.00,52.58,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,2.41,0.00,0.00,0.00,19.11,15.22,10.39,2.73,4.20,1.36,2,-2.84,0.00,57.58,Win
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,2.51,0.00,1.42,0.00,12.66,1.42,5.46,10.81,0.00,5.78,12,0.00,0.00,55.06,Loss
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,1.81,0.00,1.02,0.00,9.12,1.02,3.93,7.78,0.00,4.17,0,0.00,0.00,31.85,Loss
Quals 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9635,3,2.58,0.00,1.46,0.00,13.02,1.46,5.61,11.11,0.00,5.95,2,0.00,0.00,46.19,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,0,0.00,0.00,0.00,0.00,6.60,2.60,1.00,0.00,0.00,0.00,0,-0.70,0.00,9.50,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,0.00,0.00,0.00,0.00,10.56,4.16,1.60,0.00,0.00,0.00,2,-1.12,0.00,20.20,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,0.00,0.00,0.00,0.00,2.64,1.04,0.40,0.00,0.00,0.00,0,-0.28,0.00,6.80,Loss
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,5.91,0.00,0.00,0.00,14.91,8.49,6.43,3.34,0.00,0.00,2,-0.90,0.00,43.18,Win
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,0,3.94,0.00,0.00,0.00,9.94,5.66,4.29,2.23,0.00,0.00,0,-0.60,0.00,25.46,Win
Quals 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,3.94,0.00,0.00,0.00,9.94,5.66,4.29,2.23,0.00,0.00,2,-0.60,0.00,30.46,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,3.24,0.00,0.00,0.00,4.65,0.00,0.00,0.00,0.00,2.82,2,-0.49,0.00,15.22,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,8.40,0.00,0.00,0.00,12.05,0.00,0.00,0.00,0.00,7.30,2,-1.28,0.00,31.47,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,3,2.16,0.00,0.00,0.00,3.10,0.00,0.00,0.00,0.00,1.88,0,-0.33,0.00,9.81,Loss
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,10.53,0.00,0.00,0.00,25.19,10.08,0.00,0.00,0.00,0.00,2,0.00,0.00,50.80,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,5.35,0.00,0.00,0.00,12.79,5.12,0.00,0.00,0.00,0.00,2,0.00,0.00,28.26,Win
Quals 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,0,4.82,0.00,0.00,0.00,11.52,4.61,0.00,0.00,0.00,0.00,0,0.00,0.00,20.95,Win
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,6.08,0.00,0.00,0.66,12.02,1.72,1.98,0.46,0.00,0.00,2,0.00,0.00,27.92,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,10.13,0.00,0.00,1.10,20.04,2.86,3.30,0.77,0.00,0.00,12,0.00,0.00,53.20,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,11.39,0.00,0.00,1.24,22.54,3.22,3.72,0.87,0.00,0.00,2,0.00,0.00,47.98,Loss
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,0,4.85,0.00,1.37,0.00,19.18,11.17,4.21,3.48,0.00,0.00,0,0.00,0.00,44.26,Win
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,4.24,0.00,1.20,0.00,16.78,9.77,3.69,3.04,0.00,0.00,2,0.00,0.00,43.72,Win
Quals 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,4.71,0.00,1.33,0.00,18.64,10.86,4.10,3.38,0.00,0.00,12,0.00,0.00,58.02,Win
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,0.00,0.00,0.00,0.00,5.40,0.00,0.00,1.06,0.00,0.00,2,0.00,0.00,11.46,Loss
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5849,0,0.00,0.00,0.00,0.00,7.20,0.00,0.00,1.42,0.00,0.00,2,0.00,0.00,10.62,Loss
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,0.00,0.00,0.00,0.00,7.20,0.00,0.00,1.42,0.00,0.00,2,0.00,0.00,13.62,Loss
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,8.99,0.00,1.69,0.00,21.51,10.30,6.52,4.30,0.00,0.00,0,0.00,0.00,56.31,Win
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,3,2.57,0.00,0.48,0.00,6.14,2.94,1.86,1.23,0.00,0.00,2,0.00,0.00,20.22,Win
Quals 6 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,9.14,0.00,1.72,0.00,21.85,10.46,6.62,4.37,0.00,0.00,0,0.00,0.00,57.16,Win
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10486,0,0.94,0.00,0.00,0.41,7.42,0.53,0.00,0.82,0.00,2.69,0,0.00,0.00,12.81,Win
Quals 7 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,3.28,0.00,0.00,1.43,25.97,1.86,0.00,2.85,0.00,9.42,2,0.00,0.00,49.81,Win
