Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Match 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8214,3,6.9,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,10.6,2,-0.0,0.0,31.5,Win
Match 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9993,3,6.9,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,10.6,12,-0.0,0.0,41.5,Win
Match 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6433,0,6.9,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,10.6,2,-0.0,0.0,28.5,Win
Match 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,2.3,0.0,0.0,0.0,14.9,0.0,2.0,0.7,0.0,0.0,12,-0.0,0.0,34.9,Loss
Match 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,2.3,0.0,0.0,0.0,14.9,0.0,2.0,0.7,0.0,0.0,2,-0.0,0.0,24.9,Loss
Match 1 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,3,2.3,0.0,0.0,0.0,14.9,0.0,2.0,0.7,0.0,0.0,2,-0.0,0.0,24.9,Loss
Match 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,6.9,0.0,0.0,1.0,18.2,14.5,5.9,1.3,0.0,1.3,2,-0.7,0.0,53.4,Loss
Match 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,3,6.9,0.0,0.0,1.0,18.2,14.5,5.9,1.3,0.0,1.3,2,-0.7,0.0,53.4,Loss
Match 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6706,3,6.9,0.0,0.0,1.0,18.2,14.5,5.9,1.3,0.0,1.3,0,-0.7,0.0,51.4,Loss
Match 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5516,3,11.6,0.0,0.0,1.0,19.8,13.2,5.0,0.7,0.0,0.0,12,-0.7,0.0,65.6,Win
Match 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9992,3,11.6,0.0,0.0,1.0,19.8,13.2,5.0,0.7,0.0,0.0,0,-0.7,0.0,53.6,Win
Match 2 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,5515,3,11.6,0.0,0.0,1.0,19.8,13.2,5.0,0.7,0.0,0.0,2,-0.7,0.0,55.6,Win
Match 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6941,3,6.9,0.0,0.0,1.0,18.2,10.6,7.9,1.3,0.0,5.3,0,-2.0,0.0,52.2,Win
Match 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6487,3,6.9,0.0,0.0,1.0,18.2,10.6,7.9,1.3,0.0,5.3,2,-2.0,0.0,54.2,Win
Match 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7002,3,6.9,0.0,0.0,1.0,18.2,10.6,7.9,1.3,0.0,5.3,0,-2.0,0.0,52.2,Win
Match 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8015,3,2.3,0.0,0.0,1.0,19.8,7.9,6.9,3.3,0.0,1.3,12,-0.0,0.0,57.5,Loss
Match 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10523,3,2.3,0.0,0.0,1.0,19.8,7.9,6.9,3.3,0.0,1.3,2,-0.0,0.0,47.5,Loss
Match 3 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9635,3,2.3,0.0,0.0,1.0,19.8,7.9,6.9,3.3,0.0,1.3,2,-0.0,0.0,47.5,Loss
Match 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10479,3,6.9,0.0,0.0,0.0,19.8,14.5,5.0,1.3,0.0,0.0,12,-0.0,0.0,62.5,Win
Match 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,7047,3,6.9,0.0,0.0,0.0,19.8,14.5,5.0,1.3,0.0,0.0,2,-0.0,0.0,52.5,Win
Match 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,10541,3,6.9,0.0,0.0,0.0,19.8,14.5,5.0,1.3,0.0,0.0,2,-0.0,0.0,52.5,Win
Match 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9994,3,2.3,2.0,0.0,0.0,14.9,9.2,4.0,0.0,0.0,6.6,12,-0.0,0.0,54.0,Loss
Match 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6907,3,2.3,2.0,0.0,0.0,14.9,9.2,4.0,0.0,0.0,6.6,12,-0.0,0.0,54.0,Loss
Match 4 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8810,3,2.3,2.0,0.0,0.0,14.9,9.2,4.0,0.0,0.0,6.6,2,-0.0,0.0,44.0,Loss
Match 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,9991,3,4.6,0.0,0.0,0.0,18.2,5.3,0.0,0.7,0.0,0.0,2,-0.0,0.0,33.8,Loss
Match 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,8011,3,4.6,0.0,0.0,0.0,18.2,5.3,0.0,0.7,0.0,0.0,0,-0.0,0.0,31.8,Loss
Match 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6940,3,4.6,0.0,0.0,0.0,18.2,5.3,0.0,0.7,0.0,0.0,12,-0.0,0.0,43.8,Loss
Match 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6766,3,9.2,0.0,0.0,0.0,19.8,10.6,1.0,4.6,0.0,0.0,2,-0.0,0.0,50.2,Win
Match 5 - World Robot Contest Championships 2025 - Sanya FRC Program & China Off-Season Event Presented by TIMKEN 2025,6494,3,9.2,0.0,0.0,0.0,19.8,10.6,1.0,4.6,0.0,0.0,2,-0.0,0.0,50.2,Win
